2020-08-13 17:19:13.620 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(308) buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.shenxu.zuul.elasticsearch.test], using SpringBootContextLoader
2020-08-13 17:19:13.651 [main] INFO  org.springframework.test.context.support.AbstractContextLoader(264) generateDefaultLocations - Could not detect default resource locations for test class [com.shenxu.zuul.elasticsearch.test]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-13 17:19:13.661 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(83) detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.shenxu.zuul.elasticsearch.test]: test does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-13 17:19:13.847 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(237) getOrFindConfigurationClasses - Found @SpringBootConfiguration com.shenxu.zuul.ZuulApplication for test class com.shenxu.zuul.elasticsearch.test
2020-08-13 17:19:14.043 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(248) getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-13 17:19:14.065 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(177) getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7fcf2fc1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2141a12, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4196c360, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@41294f8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@225129c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20435c40, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@573906eb, org.springframework.test.context.event.EventPublishingTestExecutionListener@479ceda0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6d07a63d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@571c5681, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@488d1cd7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@68dc098b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@38ba6ce3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@d278d2b]
2020-08-13 17:19:15.152 [main] INFO  com.shenxu.zuul.elasticsearch.test(651) logStartupProfileInfo - No active profile set, falling back to default profiles: default
2020-08-13 17:19:16.337 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(249) multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-08-13 17:19:16.346 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(127) registerRepositoriesIn - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-08-13 17:19:16.407 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(187) registerRepositoriesIn - Finished Spring Data repository scanning in 29ms. Found 0 Redis repository interfaces.
2020-08-13 17:19:16.530 [main] WARN  org.springframework.boot.actuate.endpoint.EndpointId(155) logWarning - Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
