2020-08-21 18:39:20.033 [main] INFO  com.shenxu.zuul.redis.RedisList(61) logStarted - Started RedisList in 10.881 seconds (JVM running for 13.292)
2020-08-21 18:39:21.421 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(647) doShutdown - Waiting for workers to finish.
2020-08-21 18:39:22.126 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(650) doShutdown - Successfully waited for workers to finish.
2020-08-21 18:39:22.129 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(647) doShutdown - Waiting for workers to finish.
2020-08-21 18:39:22.940 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(650) doShutdown - Successfully waited for workers to finish.
2020-08-21 18:39:22.942 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(647) doShutdown - Waiting for workers to finish.
2020-08-21 18:39:22.996 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(650) doShutdown - Successfully waited for workers to finish.
2020-08-21 18:39:22.999 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(647) doShutdown - Waiting for workers to finish.
2020-08-21 18:39:23.022 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(650) doShutdown - Successfully waited for workers to finish.
2020-08-21 18:39:23.026 [SpringContextShutdownHook] INFO  org.springframework.cloud.netflix.zuul.ZuulFilterInitializer(79) contextDestroyed - Stopping filter initializer
2020-08-21 18:39:23.033 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(1243) shutdown - Shutdown ignored - container is not active already
2020-08-21 18:39:23.034 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(1243) shutdown - Shutdown ignored - container is not active already
2020-08-21 18:39:23.034 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(1243) shutdown - Shutdown ignored - container is not active already
2020-08-21 18:39:23.034 [SpringContextShutdownHook] INFO  org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer(1243) shutdown - Shutdown ignored - container is not active already
2020-08-21 18:39:23.035 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor(218) shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
